Pub,Area,Location,Atmos,Drinks,Value,Facilities,Total,combined,latitude,longitude
Faltering Fullback,Finsbury Park,2.0,5.0,5.0,4.0,5.0,21.0,Faltering Fullback Finsbury Park,51.56854999999999,-0.1082097
The Ship,Wandsworth,4.0,5.0,3.0,3.0,5.0,20.0,The Ship Wandsworth,,
Horniman At Hays,London Bridge,4.0,4.0,5.0,2.0,5.0,20.0,Horniman At Hays London Bridge,51.5061511,-0.08296139999999999
The Wheatsheaf,Tooting,3.0,4.0,4.0,3.0,5.0,19.0,The Wheatsheaf Tooting,,
The Devonshire,Balham,3.0,4.0,4.0,3.0,5.0,19.0,The Devonshire Balham,,
Kings Head,Tooting,3.0,4.0,5.0,3.0,4.0,19.0,Kings Head Tooting,,
Waxy O'Connor's,Leicester Square,4.0,4.0,4.0,3.0,4.0,19.0,Waxy O'Connor's Leicester Square,51.510832,-0.132336
Hole in the Wall,Waterloo,3.0,3.0,5.0,5.0,3.0,19.0,Hole in the Wall Waterloo,,
The Devonshire,Soho,5.0,5.0,3.0,3.0,3.0,19.0,The Devonshire Soho,,
The York,Angel,5.0,4.0,4.0,3.0,3.0,19.0,The York Angel,,
The Old Red Lion,Kennington,3.0,4.0,3.0,4.0,5.0,19.0,The Old Red Lion Kennington,53.4439134,-1.5036302
The King's Arms,Kennington,2.0,3.0,4.0,5.0,5.0,19.0,The King's Arms Kennington,50.885515,0.426766
Duke of Wellington,Spitalfields,3.0,3.0,5.0,3.0,4.0,18.0,Duke of Wellington Spitalfields,,
The Falcon,Clapham,4.0,4.0,3.0,2.0,5.0,18.0,The Falcon Clapham,,
The Clapham Tap,Clapham,4.0,4.0,2.0,3.0,5.0,18.0,The Clapham Tap Clapham,51.4643196,-0.135398
The Finsbury,Finsbury Park,3.0,3.0,5.0,2.0,5.0,18.0,The Finsbury Finsbury Park,51.571963,-0.0962639
Duke of Edinburgh,Brixton,3.0,4.0,3.0,3.0,5.0,18.0,Duke of Edinburgh Brixton,55.953252,-3.188267
Fentiman Arms,Oval,2.0,4.0,3.0,4.0,5.0,18.0,Fentiman Arms Oval,51.4810042,-0.118221
Constitution,Camden,3.0,3.0,4.0,3.0,5.0,18.0,Constitution Camden,,
The Albion,Angel,3.0,5.0,3.0,2.0,5.0,18.0,The Albion Angel,,
The Barley Mow,Marylebone,3.0,4.0,4.0,3.0,4.0,18.0,The Barley Mow Marylebone,40.3361082,-75.95261450000001
The Alexandra,Clapham,4.0,3.0,4.0,3.0,4.0,18.0,The Alexandra Clapham,,
The Sun,Clapham,4.0,5.0,3.0,2.0,4.0,18.0,The Sun Clapham,,
The Avalon,Balham,3.0,4.0,4.0,3.0,4.0,18.0,The Avalon Balham,,
Prince of Wales,Clapham,4.0,3.0,3.0,4.0,4.0,18.0,Prince of Wales Clapham,52.1306607,-3.7837117
The World's End,Camden,4.0,4.0,4.0,2.0,4.0,18.0,The World's End Camden,,
The Sailsbury,Tottenham,2.0,4.0,5.0,3.0,4.0,18.0,The Sailsbury Tottenham,51.068785,-1.794472
The Falcon,Clapham Junction,4.0,3.0,4.0,4.0,3.0,18.0,The Falcon Clapham Junction,,
The Pride of Spitalfields,Spitalfields,3.0,5.0,3.0,5.0,2.0,18.0,The Pride of Spitalfields Spitalfields,51.5189404,-0.0711911
The Chapel Market Tavern,Angel,4.0,4.0,4.0,3.0,3.0,18.0,The Chapel Market Tavern Angel,51.533426,-0.111234
The Black Prince,Kennington,2.0,4.0,5.0,2.0,5.0,18.0,The Black Prince Kennington,,
Hope & Anchor,Brixton,3.0,4.0,2.0,3.0,5.0,17.0,Hope & Anchor Brixton,,
Four Thieves,Clapham Junction,2.0,4.0,3.0,3.0,5.0,17.0,Four Thieves Clapham Junction,51.4642104,-0.1625657
The Castle,Tooting,3.0,3.0,3.0,3.0,5.0,17.0,The Castle Tooting,,
The George,Borough,4.0,3.0,3.0,2.0,5.0,17.0,The George Borough,,
The Selkirk,Tooting,2.0,3.0,4.0,3.0,5.0,17.0,The Selkirk Tooting,,
Dutchess Belle,Nine Elms,3.0,4.0,4.0,2.0,4.0,17.0,Dutchess Belle Nine Elms,51.4791843,-0.1424734
The Landor,Clapham,3.0,4.0,4.0,2.0,4.0,17.0,The Landor Clapham,51.46568629999999,-0.1260694
Belle Vue,Clapham,4.0,3.0,4.0,2.0,4.0,17.0,Belle Vue Clapham,,
The Stonhouse,Clapham,4.0,3.0,3.0,3.0,4.0,17.0,The Stonhouse Clapham,51.46395829999999,-0.1369942
The Blind Beggar,Whitechapel,3.0,3.0,5.0,2.0,4.0,17.0,The Blind Beggar Whitechapel,51.5200131,-0.05689889999999999
Tattershall Castle,Whitehall,5.0,3.0,2.0,3.0,4.0,17.0,Tattershall Castle Whitehall,53.10134799999999,-0.193408
Canton Arms,Stockwell,3.0,3.0,4.0,3.0,4.0,17.0,Canton Arms Stockwell,51.4771509,-0.123007
Trinity Arms,Brixton,3.0,4.0,3.0,3.0,4.0,17.0,Trinity Arms Brixton,51.4617733,-0.1192909
Phoenix,Victoria,3.0,4.0,3.0,3.0,4.0,17.0,Phoenix Victoria,33.4483771,-112.0740373
The Chesham Arms,Hackney,2.0,5.0,3.0,3.0,4.0,17.0,The Chesham Arms Hackney,51.5476074,-0.0501159
Rose & Crown,Tooting,3.0,4.0,3.0,3.0,4.0,17.0,Rose & Crown Tooting,,
Bucks Head,Camden,4.0,4.0,3.0,3.0,3.0,17.0,Bucks Head Camden,51.2739023,0.225032
The Twelve Pins,Finsbury Park,3.0,3.0,5.0,3.0,3.0,17.0,The Twelve Pins Finsbury Park,53.4999972,-9.8100008
The Old Star,Westminster,4.0,3.0,3.0,4.0,3.0,17.0,The Old Star Westminster,,
The Shacklewell Arms,Dalston,2.0,5.0,4.0,3.0,3.0,17.0,The Shacklewell Arms Dalston,51.5524017,-0.07137099999999999
The Goat,Clapham Junction,4.0,4.0,3.0,3.0,3.0,17.0,The Goat Clapham Junction,,
