Pub,Area,Location,Atmos,Drinks,Value,Facilities,Total
Faltering Fullback,Finsbury Park,2,5,5,4,5,21
The Ship,Wandsworth,4,5,3,3,5,20
Horniman At Hays,London Bridge,4,4,5,2,5,20
The Wheatsheaf,Tooting,3,4,4,3,5,19
The Devonshire,Balham,3,4,4,3,5,19
Kings Head,Tooting,3,4,5,3,4,19
Waxy O'Connor's,Leicester Square,4,4,4,3,4,19
Hole in the Wall,Waterloo,3,3,5,5,3,19
The Devonshire,Soho,5,5,3,3,3,19
The York,Angel,5,4,4,3,3,19
The Old Red Lion,Kennington,3,4,3,4,5,19
The King's Arms,Kennington,2,3,4,5,5,19
Duke of Wellington,Spitalfields,3,3,5,3,4,18
The Falcon,Clapham,4,4,3,2,5,18
The Clapham Tap,Clapham,4,4,2,3,5,18
The Finsbury,Finsbury Park,3,3,5,2,5,18
Duke of Edinburgh,Brixton,3,4,3,3,5,18
Fentiman Arms,Oval,2,4,3,4,5,18
Constitution,Camden,3,3,4,3,5,18
The Albion,Angel,3,5,3,2,5,18
The Barley Mow,Marylebone,3,4,4,3,4,18
The Alexandra,Clapham,4,3,4,3,4,18
The Sun,Clapham,4,5,3,2,4,18
The Avalon,Balham,3,4,4,3,4,18
Prince of Wales,Clapham,4,3,3,4,4,18
The World's End,Camden,4,4,4,2,4,18
The Sailsbury,Tottenham,2,4,5,3,4,18
The Falcon,Clapham Junction,4,3,4,4,3,18
The Pride of Spitalfields,Spitalfields,3,5,3,5,2,18
The Chapel Market Tavern,Angel,4,4,4,3,3,18
The Black Prince,Kennington,2,4,5,2,5,18
Hope & Anchor,Brixton,3,4,2,3,5,17
Four Thieves,Clapham Junction,2,4,3,3,5,17
The Castle,Tooting,3,3,3,3,5,17
The George,Borough,4,3,3,2,5,17
The Selkirk,Tooting,2,3,4,3,5,17
Dutchess Belle,Nine Elms,3,4,4,2,4,17
The Landor,Clapham,3,4,4,2,4,17
Belle Vue,Clapham,4,3,4,2,4,17
The Stonhouse,Clapham,4,3,3,3,4,17
The Blind Beggar,Whitechapel,3,3,5,2,4,17
Tattershall Castle,Whitehall,5,3,2,3,4,17
Canton Arms,Stockwell,3,3,4,3,4,17
Trinity Arms,Brixton,3,4,3,3,4,17
Phoenix,Victoria,3,4,3,3,4,17
The Chesham Arms,Hackney,2,5,3,3,4,17
Rose & Crown,Tooting,3,4,3,3,4,17
Bucks Head,Camden,4,4,3,3,3,17
The Twelve Pins,Finsbury Park,3,3,5,3,3,17
The Old Star,Westminster,4,3,3,4,3,17
The Shacklewell Arms,Dalston,2,5,4,3,3,17
The Goat,Clapham Junction,4,4,3,3,3,17
Bedford Arms,Fulham,2,3,5,4,3,17
Fox on the Green,Angel,4,3,4,3,3,17
The Riverside,Vauxhall,5,3,3,3,3,17
The Argyll Arms,Oxford Circus,5,3,3,3,3,17
Malborough Arms,Fitzrovia,4,4,4,2,3,17
Montagu Pyke,Soho,3,4,4,4,2,17
The Market Porter,Borough,4,4,4,3,2,17
The French House,Soho,5,4,3,3,2,17
The Alpaca,Angel,3,4,2,4,4,17
The Old Blue Last,Shoreditch,3,4,4,3,3,17
Brewhouse,Highbury,3,3,3,4,4,17
The Auld Shillelagh,Stoke Newington,2,4,3,4,4,17
The Southampton Arms,Gospel Oak,3,3,3,5,3,17
One Over The Ait,Brentford,3,2,4,2,5,16
Ship & Shovell,Whitehall,4,3,2,3,4,16
The Porterhouse,Covent Garden,3,4,2,3,4,16
The Dog House,Kennington,3,4,3,2,4,16
The Star of Kings,King's Cross,3,4,2,3,4,16
The Royal Standard,Wandsworth,3,3,4,2,4,16
The Angelic,Angel,4,2,3,3,4,16
The Scolt Head,Dalston,2,4,3,3,4,16
The King & Co,Brixton,2,4,4,3,3,16
The Admiralty,Whitehall,4,4,3,2,3,16
The Richmal Crompton,Bromley,3,4,3,3,3,16
The Jolly Gardeners,Vauxhall,2,4,3,4,3,16
Camden Head,Camden,3,3,4,3,3,16
The World's End,Finsbury Park,3,3,4,3,3,16
The Astronomer,Liverpool Street,3,3,4,3,3,16
Ye Olde Mitre,Holborn,3,3,4,3,3,16
The Perky Nel,Clapham,3,3,4,3,3,16
The Grafton Arms,Fitzrovia,3,3,3,4,3,16
The George & Vulture,Shoreditch,2,3,5,3,3,16
The Marquis of Granbry,Westminster,3,3,4,3,3,16
Ninth Life,Catford,3,3,3,4,3,16
The Hen & Chickens,Highbury,4,3,3,3,3,16
The Exmouth Arms,Clerkenwell,3,5,2,3,3,16
The Railway,Clapham,4,3,4,3,2,16
The Observatory,Greenwich,4,3,4,3,2,16
Walkers of Whitehall,Whitehall,4,4,4,2,2,16
Mayfair Tavern,Tooting,3,4,4,3,2,16
The Coach & Horses,Soho,5,4,3,2,2,16
The Prince of Wales,Kennington,3,4,3,3,3,16
The Three Johns,Angel,4,4,2,2,3,15
The Prince,Fulham,3,4,2,2,4,15
The Tim Bobbin,Clapham,3,3,3,2,4,15
The Windmill,Clapham,4,2,3,2,4,15
The Saxon,Clapham,4,2,3,2,4,15
Bread & Roses,Clapham,3,2,4,2,4,15
Catford Bridge Tavern,Catford,3,2,3,3,4,15
The Coach Makers Arms,Marylebone,3,4,2,2,4,15
The George & Monkey,Angel,3,2,3,3,4,15
Barley Mow,Westminster,3,4,3,2,3,15
The Albert,Westminster,3,3,4,2,3,15
Nolan's,Nine Elms,2,3,3,4,3,15
Waterloo Tap,Waterloo,4,2,3,3,3,15
Bucks Head,Camden,4,3,2,3,3,15
The Camel and Artichoke,Waterloo,3,2,4,3,3,15
Colonies,Westminster,3,4,3,2,3,15
The Duke of Sussex,Waterloo,4,3,3,2,3,15
Crate Brewery,Hackney Wick,3,3,3,3,3,15
The Cow,Stratford,4,2,4,2,3,15
The Gregorian,Bermondsey,3,3,3,3,3,15
The Clerkenwell Tavern,Clerkenwell,3,4,2,3,3,15
Brewmaster,Leicester Square,4,3,3,3,2,15
White Hart,Covent Garden,3,3,5,2,2,15
The Kings Tun,Kingston,3,2,4,4,2,15
The Feathers,Westminster,4,3,3,3,2,15
The Railway Tavern,Dalston,2,4,4,3,2,15
The Speaker,Westminster,3,4,4,2,2,15
The King's Head,Mayfair,4,3,2,4,2,15
The Beehive,Brixton,3,2,4,5,1,15
The Alwyne Castle,Highbury,3,3,3,2,4,15
The Ten Bells,Spitalfields,3,4,3,2,3,15
Vineyard,Islington,3,2,4,2,4,15
The Old Bull and Bush,Hampstead,2,3,3,3,4,15
Bank of Friendship,Highbury,2,3,2,3,4,14
Priory Arms,Stockwell,2,3,3,3,3,14
The Thirsty Bear,Waterloo,3,3,3,2,3,14
The Mason's Arms,Battersea,3,3,3,2,3,14
Porter and Sorter,Croydon,3,2,4,2,3,14
The Barrel Vault,King's Cross,4,2,3,2,3,14
The Crown,Angel,3,3,2,3,3,14
The Regent,Angel,3,2,2,4,3,14
The Beer House,Victoria,4,2,3,2,3,14
The Fitzrovia Bell,Fitzrovia,3,2,3,3,3,14
Two Chairmen,Westminster,3,3,3,3,2,14
Silver Cross,Whitehall,4,2,3,3,2,14
Old Town Tavern,Clapham,3,3,4,2,2,14
Grafton Arms,Westminster,3,3,4,2,2,14
Adam and Eve,Westminster,3,3,4,2,2,14
The Royal Oak,Westminster,3,3,3,3,2,14
Bayswater Arms,Bayswater,3,3,4,2,2,14
The Greencoat Boy,Westminster,3,3,3,3,2,14
The Fellow,King's Cross,4,3,3,2,2,14
The Roundhouse,Covent Garden,3,3,3,3,2,14
Fire Station,Waterloo,4,3,3,2,2,14
The Phoenix,Stockwell,2,2,4,4,2,14
Shakespeare,Victoria,4,2,4,2,2,14
The Sanctuary,Westminster,4,3,3,2,2,14
The Northumberland Arms,Fitzrovia,4,2,2,4,2,14
Coach and Horses,Soho,3,4,4,2,1,14
The Griffin,Shoreditch,3,4,2,3,2,14
The Culpeper,Spitalfields,3,3,2,2,4,14
The Morpeth Arms,Westminster,3,3,2,2,3,13
The Grosvenor Arms,Brixton,2,4,3,2,2,13
Duke of York,Victoria,3,3,2,3,2,13
The Kings Head,Bayswater,3,2,3,3,2,13
The Hanover Arms,Oval,4,2,4,1,2,13
The Camden Eye,Camden,4,4,2,2,1,13
The Tommyfield,Kennington,3,2,3,3,2,13
Rose & Crown,Waterloo,2,2,2,3,3,12
The Red Lion,Whitehall,4,3,1,2,2,12
Prince Alfred,Bayswater,3,2,3,2,2,12
Rose & Crown,Clapham,4,1,3,2,2,12
Clapham North,Clapham,4,1,3,2,2,12
Crown & Sceptre,Kensington,4,1,4,1,2,12
All My Friends,Hackney Wick,3,2,2,3,2,12
The Islington Town House,Angel,4,1,2,2,2,11
The Gypsy Moth,Greenwich,4,,,,4,
The Gallery,Pimlico,3,2,4,,4,
Coach and Horses,Brixton,2,4,,,3,
Marquis of Westminster,Westminster,2,3,,,3,
The Trafalgar Arms,Tooting,3,3,4,,3,
The Fox,Custom House,3,3,,,3,
White Horse & Bower,Westminster,3,3,,,3,
The Wellington,Waterloo,4,2,4,,3,
The Park Tavern,Finsbury Park,2,2,4,,3,
The Scarsdale Tavern,Kensington,3,2,,,3,
The Engineer,Camden,2,,,2,3,
Spice of Life,Soho,4,,,,3,
One Tun,Fitzrovia,3,2,4,,3,
White Hart,Barnes,,,,,3,
The Foxglove,Angel,3,3,,,3,
Knowles of Norwood,Norwood,1,3,,,3,
Westminster Arms,Westminster,3,4,,,2,
The Lemon Tree,Covent Garden,3,3,,,2,
The Greyhound,Kensington,3,1,2,,2,
The Builders Arms,Kensington,3,3,2,,2,
Tamesis Dock,Vauxhall,5,4,,,2,
The White Lion,Covent Garden,4,4,,,1,
The Cavendish Arms,Stockwell,2,2,,,,
The Phene,Chelsea,2,2,,,,
The Mayflower,Rotherhie,4,,,,,
The Bill Murray,Islington,2,,,,,
The Castle,Angel,,,,,,
The Spaniards Inn,Hampstead,2,4,4,,5,
The Flask,Hampstead,4,3,2,,4,
