Pub,Area,Location,Atmos,Drinks,Value,Facilities,Total,combined,latitude,longitude,
Faltering Fullback,Finsbury Park,2,5,5,4,5,21,Faltering Fullback Finsbury Park,51.56855,-0.1082097,
The Ship,Wandsworth,4,5,3,3,5,20,The Ship Wandsworth,51.46352095,-0.1880008842,
Horniman At Hays,London Bridge,4,4,5,2,5,20,Horniman At Hays London Bridge,51.5061511,-0.0829614,
The Wheatsheaf,Tooting,3,4,4,3,5,19,The Wheatsheaf Tooting,51.3716378,-0.3665284,
The Devonshire,Balham,3,4,4,3,5,19,The Devonshire Balham,51.5106275,-0.1353358,
Kings Head,Tooting,3,4,5,3,4,19,Kings Head Tooting,51.43380864275582,-0.1630720099574279,"51.43380864275582, -0.1630720099574279"
Waxy O'Connor's,Leicester Square,4,4,4,3,4,19,Waxy O'Connor's Leicester Square,51.510832,-0.132336,
Hole in the Wall,Waterloo,3,3,5,5,3,19,Hole in the Wall Waterloo,51.50399334028799,-0.11334193983106318,"51.50399334028799, -0.11334193983106318"
The Devonshire,Soho,5,5,3,3,3,19,The Devonshire Soho,51.5106275,-0.1353358,
The York,Angel,5,4,4,3,3,19,The York Angel,51.53377161,-0.10498265608994799,"51.5337716138164, -0.10498265608994799"
The Old Red Lion,Kennington,3,4,3,4,5,19,The Old Red Lion Kennington,53.4439134,-1.5036302,
The King's Arms,Kennington,2,3,4,5,5,19,The King's Arms Kennington,51.48995239,-0.1081661724,
Duke of Wellington,Spitalfields,3,3,5,3,4,18,Duke of Wellington Spitalfields,51.51791002563119,-0.07463432489244043,"51.517910025631195, -0.07463432489244043"
The Falcon,Clapham,4,4,3,2,5,18,The Falcon Clapham,51.46431029589343,-0.12915147179297393,"51.46431029589343, -0.12915147179297393"
The Clapham Tap,Clapham,4,4,2,3,5,18,The Clapham Tap Clapham,51.4643196,-0.135398,
The Finsbury,Finsbury Park,3,3,5,2,5,18,The Finsbury Finsbury Park,51.571963,-0.0962639,
Duke of Edinburgh,Brixton,3,4,3,3,5,18,Duke of Edinburgh Brixton,51.46328587,-0.1199891453,
Fentiman Arms,Oval,2,4,3,4,5,18,Fentiman Arms Oval,51.4810042,-0.118221,
Constitution,Camden,3,3,4,3,5,18,Constitution Camden,51.54031694354308,-0.13545833570300866,"51.54031694354308, -0.13545833570300866"
The Albion,Angel,3,5,3,2,5,18,The Albion Angel,51.53937174495530,-0.10960852235729253,"51.539371744955304, -0.10960852235729253"
The Barley Mow,Marylebone,3,4,4,3,4,18,The Barley Mow Marylebone,51.51970675,-0.1556536263,
The Alexandra,Clapham,4,3,4,3,4,18,The Alexandra Clapham,51.46130024403536,-0.1382071069910426,"51.461300244035364, -0.1382071069910426"
The Sun,Clapham,4,5,3,2,4,18,The Sun Clapham,51.46403152,-0.14099426726660697,"51.464031524701, -0.14099426726660697"
The Avalon,Balham,3,4,4,3,4,18,The Avalon Balham,51.45124886916765,-0.1479796632912543,"51.45124886916765, -0.1479796632912543"
Prince of Wales,Clapham,4,3,3,4,4,18,Prince of Wales Clapham,51.46391746,-0.1418578878,
The World's End,Camden,4,4,4,2,4,18,The World's End Camden,51.53934061069439,-0.14225636771935246,"51.539340610694396, -0.14225636771935246"
The Sailsbury,Tottenham,2,4,5,3,4,18,The Sailsbury Tottenham,51.068785,-1.794472,
The Falcon,Clapham Junction,4,3,4,4,3,18,The Falcon Clapham Junction,51.46394422122731,-0.16798981010049932,"51.46394422122731, -0.16798981010049932"
The Pride of Spitalfields,Spitalfields,3,5,3,5,2,18,The Pride of Spitalfields Spitalfields,51.5189404,-0.0711911,
The Chapel Market Tavern,Angel,4,4,4,3,3,18,The Chapel Market Tavern Angel,51.533426,-0.111234,
The Black Prince,Kennington,2,4,5,2,5,18,The Black Prince Kennington,51.48968326296519,-0.11215773415679967,"51.489683262965194, -0.11215773415679967"
Hope & Anchor,Brixton,3,4,2,3,5,17,Hope & Anchor Brixton,51.46060265,-0.12635575941033916,"51.4606026527812, -0.12635575941033916"
Four Thieves,Clapham Junction,2,4,3,3,5,17,Four Thieves Clapham Junction,51.4642104,-0.1625657,
The Castle,Tooting,3,3,3,3,5,17,The Castle Tooting,51.43002284587497,-0.1675751105848153,"51.43002284587497, -0.1675751105848153"
The George,Borough,4,3,3,2,5,17,The George Borough,51.50459705386584,-0.0905283458129468,"51.504597053865844, -0.0905283458129468"
The Selkirk,Tooting,2,3,4,3,5,17,The Selkirk Tooting,51.43148253794922,-0.16950250330236896,"51.43148253794922, -0.16950250330236896"
Dutchess Belle,Nine Elms,3,4,4,2,4,17,Dutchess Belle Nine Elms,51.4791843,-0.1424734,
